year,country_code,country,type,indicator,indicator_name,value,yoy_change_pct,period
2015,US,USA,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),2270622000000.0,,Pre-Trade War
2016,US,USA,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),2235558000000.0,-1.544246466386745,Pre-Trade War
2017,US,USA,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),2388260000000.0,6.8305988929833195,Pre-Trade War
2018,US,USA,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),2538089000000.0,6.273563179888297,Trade War 1.0
2019,US,USA,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),2539391000000.0,0.051298437525248985,Trade War 1.0
2020,US,USA,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),2151139000000.0,-15.289177602031357,Trade War 1.0
2021,US,USA,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),2555430000000.0,18.794275962641183,Recovery
2022,US,USA,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),3017379000000.0,18.077153355795318,Recovery
2023,US,USA,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),3052469000000.0,1.1629298142527,Recovery
2024,US,USA,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),3193500000000.0,4.620227101405461,Recovery
2015,CN,China,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),2362097053274.6,,Pre-Trade War
2016,CN,China,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),2199974853570.14,-6.863485963868765,Pre-Trade War
2017,CN,China,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),2424216052098.35,10.192898258100968,Pre-Trade War
2018,CN,China,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),2655609176087.45,9.545070200686578,Trade War 1.0
2019,CN,China,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),2628941104657.6,-1.004216722474971,Trade War 1.0
2020,CN,China,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),2729884575163.89,3.8397007193296195,Trade War 1.0
2021,CN,China,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),3554107780957.44,30.192602767612154,Recovery
2022,CN,China,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),3717887818646.97,4.608189953243613,Recovery
2023,CN,China,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),3490089712362.99,-6.127083908811459,Recovery
2024,CN,China,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),3753056083349.04,7.534659354300843,Recovery
2015,DE,Germany,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),1458592274325.0,,Pre-Trade War
2016,DE,Germany,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),1472560807845.53,0.9576722547083527,Pre-Trade War
2017,DE,Germany,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),1589089750187.06,7.913353507759102,Pre-Trade War
2018,DE,Germany,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),1723433049609.41,8.454103955206783,Trade War 1.0
2019,DE,Germany,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),1676629137011.76,-2.715737208837754,Trade War 1.0
